match_id,ad1_id,ad2_id,similarity
1,1,2,12.37
2,3,4,10.41
3,5,6,10.09
4,7,8,10.77
5,9,10,10.0
6,11,12,10.08
7,13,14,12.89
8,15,16,10.45
9,17,18,10.81
10,19,20,11.77
11,21,22,12.36
12,23,24,11.05
13,25,26,10.68
14,27,28,12.99
15,29,30,14.89
16,31,32,12.32
17,33,34,14.15
18,35,36,11.05
19,37,38,11.01
20,39,40,11.38
21,41,42,13.44
22,43,44,11.21
23,45,46,13.6
24,47,48,10.22
25,49,50,12.89
26,51,52,11.02
27,53,54,10.22
28,55,56,10.55
29,57,58,10.08
30,59,60,10.13
31,61,62,10.14
32,63,64,10.29
33,65,66,10.26
34,67,68,12.19
35,69,70,12.37
36,71,72,10.41
37,73,74,10.09
38,75,76,10.77
39,77,78,10.0
40,79,80,10.08
41,81,82,12.89
42,83,84,10.45
43,85,86,10.81
44,87,88,11.77
45,89,90,12.36
46,91,92,11.05
47,93,94,10.68
48,95,96,12.99
49,97,98,14.89
50,99,100,12.32
51,101,102,14.15
52,103,104,11.05
53,105,106,11.01
54,107,108,11.38
55,109,110,13.44
56,111,112,11.21
57,113,114,13.6
58,115,116,10.22
59,117,118,12.89
60,119,120,11.02
61,121,122,10.22
62,123,124,10.55
63,125,126,10.08
64,127,128,10.13
65,129,130,10.14
66,131,132,10.29
67,133,134,10.26
68,135,136,12.19
69,137,138,12.37
70,139,140,10.41
71,141,142,10.09
72,143,144,10.77
73,145,146,10.0
74,147,148,10.08
75,149,150,12.89
76,151,152,10.45
77,153,154,10.81
78,155,156,11.77
79,157,158,12.36
80,159,160,11.05
81,161,162,10.68
82,163,164,12.99
83,165,166,14.89
84,167,168,12.32
85,169,170,14.15
86,171,172,11.05
87,173,174,11.01
88,175,176,11.38
89,177,178,13.44
90,179,180,11.21
91,181,182,13.6
92,183,184,10.22
93,185,186,12.89
94,187,188,11.02
95,189,190,10.22
96,191,192,10.55
97,193,194,10.08
98,195,196,10.13
99,197,198,10.14
100,199,200,10.29
101,201,202,10.26
102,203,204,12.19
